hotel_id,current_star_rating,accommodation_type_name,chain,booking_date,checkin_date,checkout_date,booking_route_type,platform_group_name,is_cancelled,city_name,payment_type,payment_model,ADR
10101,3.0,Resort,Chain,2024-09-23,2024-12-22,2024-12-27,Direct,Partner Portal,not_cancelled,Miami,Wallet,Pay Now,173.53
10284,3.5,Apartment,Chain,2024-12-07,2024-12-25,2024-12-29,Corporate,Mobile App,not_cancelled,San Francisco,Bank Transfer,Pay Now,162.81
10227,1.0,Apartment,Chain,2024-05-26,2024-06-03,2024-06-10,Affiliate,Mobile App,not_cancelled,Seattle,Debit Card,Pay Now,58.65
10076,2.0,Hotel,Chain,2024-04-30,2024-06-08,2024-06-10,Affiliate,Website,not_cancelled,New York,Bank Transfer,Pay Later,108.81
10055,4.0,Serviced Apartment,Chain,2024-07-15,2024-08-07,2024-08-09,Affiliate,Mobile App,cancelled,New York,Bank Transfer,Pay at Property,182.59
10227,2.0,Boutique Hotel,Independent,2024-08-25,2024-10-02,2024-10-07,Direct,Mobile App,not_cancelled,Chicago,Bank Transfer,Pay at Property,67.75
10141,3.0,Serviced Apartment,Chain,2024-05-06,2024-07-09,2024-07-12,Direct,Partner Portal,not_cancelled,Denver,Wallet,Pay Later,85.84
10033,2.0,Serviced Apartment,Chain,2024-04-28,2024-05-14,2024-05-16,Affiliate,Website,not_cancelled,Austin,Bank Transfer,Pay Now,86.79
10153,4.0,Serviced Apartment,Independent,2024-12-22,2024-12-22,2024-12-29,Direct,Website,not_cancelled,Miami,Bank Transfer,Pay at Property,136.04
10240,3.0,Apartment,Independent,2024-12-08,2025-01-16,2025-01-20,Affiliate,Mobile App,not_cancelled,Austin,Credit Card,Pay Now,122.13
10195,3.0,Resort,Independent,2024-08-24,2024-08-31,2024-09-03,Direct,Mobile App,not_cancelled,Miami,Bank Transfer,Pay Later,149.98
10334,1.5,Hotel,Independent,2024-06-28,2024-07-06,2024-07-07,Meta Search,Partner Portal,not_cancelled,Boston,Debit Card,Pay Later,109.63
10311,3.5,Boutique Hotel,Independent,2024-02-28,2024-03-28,2024-03-30,Direct,Partner Portal,not_cancelled,Austin,Credit Card,Pay Later,128.12
10102,3.0,Hotel,Independent,2024-12-12,2025-03-05,2025-03-09,Direct,Call Center,not_cancelled,Seattle,Debit Card,Pay Now,143.26
10332,4.5,Resort,Chain,2024-10-16,2024-12-08,2024-12-11,Meta Search,Mobile App,not_cancelled,New York,Bank Transfer,Pay Now,211.45
10334,4.5,Resort,Independent,2024-12-28,2025-01-02,2025-01-04,Affiliate,Website,not_cancelled,Denver,Bank Transfer,Pay at Property,142.06
10195,4.5,Resort,Chain,2024-02-14,2024-02-25,2024-02-29,Direct,Mobile App,cancelled,Denver,Wallet,Pay Later,123.73
10265,3.0,Apartment,Chain,2024-11-01,2024-12-13,2024-12-16,Direct,Mobile App,not_cancelled,Seattle,Bank Transfer,Pay Now,131.44
10340,4.0,Boutique Hotel,Chain,2024-08-17,2024-10-11,2024-10-12,Direct,Mobile App,not_cancelled,Denver,Wallet,Pay Now,124.43
10162,3.0,Hotel,Independent,2024-06-05,2024-06-15,2024-06-16,Direct,Call Center,not_cancelled,Miami,Debit Card,Pay Later,153.76
10155,5.0,Hotel,Independent,2024-09-25,2024-10-26,2024-10-27,Meta Search,Website,not_cancelled,Austin,Debit Card,Pay Later,162.56
10007,5.0,Boutique Hotel,Chain,2024-11-22,2025-01-31,2025-02-04,Direct,Website,cancelled,Boston,Bank Transfer,Pay Now,220.16
10078,4.5,Apartment,Independent,2024-02-28,2024-04-28,2024-05-02,Direct,Mobile App,not_cancelled,Denver,Wallet,Pay at Property,123.57
10227,4.0,Resort,Independent,2024-11-12,2024-11-20,2024-11-25,Meta Search,Call Center,not_cancelled,New York,Bank Transfer,Pay Now,184.36
10039,2.0,Apartment,Chain,2024-04-16,2024-05-20,2024-05-23,Corporate,Mobile App,not_cancelled,Boston,Bank Transfer,Pay Now,115.89
10321,4.0,Boutique Hotel,Independent,2024-08-20,2024-08-22,2024-08-24,Meta Search,Website,not_cancelled,Denver,Debit Card,Pay Now,144.8
10148,3.0,Serviced Apartment,Chain,2024-03-13,2024-03-15,2024-03-17,Direct,Website,not_cancelled,Miami,Wallet,Pay Now,118.4
10129,2.0,Hotel,Chain,2024-01-21,2024-04-07,2024-04-13,Affiliate,Call Center,cancelled,Miami,Credit Card,Pay Later,94.81
10047,3.5,Serviced Apartment,Chain,2024-08-14,2024-11-08,2024-11-10,Direct,Mobile App,not_cancelled,Boston,Wallet,Pay Later,126.42
10282,4.0,Hotel,Chain,2024-05-27,2024-07-04,2024-07-08,Direct,Mobile App,not_cancelled,San Francisco,Wallet,Pay at Property,203.91
10319,3.5,Serviced Apartment,Independent,2024-01-01,2024-02-07,2024-02-12,Direct,Website,not_cancelled,Boston,Credit Card,Pay at Property,177.31
10123,4.5,Apartment,Chain,2024-09-05,2024-09-09,2024-09-15,Direct,Website,not_cancelled,Austin,Credit Card,Pay Now,161.83
10140,3.5,Serviced Apartment,Independent,2024-03-01,2024-04-06,2024-04-08,Corporate,Website,not_cancelled,Miami,Bank Transfer,Pay at Property,157.93
10213,3.5,Resort,Independent,2024-03-10,2024-05-18,2024-05-21,Direct,Mobile App,not_cancelled,Austin,Wallet,Pay Now,107.81
10279,5.0,Serviced Apartment,Chain,2024-09-07,2024-11-16,2024-11-20,Affiliate,Website,not_cancelled,Chicago,Wallet,Pay Now,178.27
10196,4.5,Serviced Apartment,Independent,2024-07-29,2024-07-30,2024-08-05,Direct,Call Center,not_cancelled,Austin,Debit Card,Pay Now,173.41
10074,3.0,Serviced Apartment,Independent,2024-02-21,2024-05-03,2024-05-07,Corporate,Call Center,cancelled,Denver,Debit Card,Pay Now,113.56
10274,4.0,Serviced Apartment,Independent,2024-11-28,2024-11-30,2024-12-03,Direct,Mobile App,not_cancelled,New York,Bank Transfer,Pay at Property,195.43
10052,3.0,Serviced Apartment,Chain,2024-04-26,2024-06-13,2024-06-17,Meta Search,Mobile App,not_cancelled,Chicago,Wallet,Pay Now,134.13
10093,3.0,Apartment,Chain,2024-03-15,2024-03-24,2024-03-28,Direct,Website,not_cancelled,Chicago,Bank Transfer,Pay Later,104.28
10280,4.0,Apartment,Chain,2024-08-23,2024-09-02,2024-09-03,Direct,Mobile App,not_cancelled,Austin,Wallet,Pay Later,127.21
10122,4.5,Serviced Apartment,Chain,2024-04-11,2024-12-25,2025-01-01,Direct,Mobile App,not_cancelled,Boston,Wallet,Pay Later,191.37
10147,1.0,Apartment,Independent,2024-12-17,2025-02-07,2025-02-08,Direct,Website,not_cancelled,Boston,Wallet,Pay at Property,77.37
10322,4.0,Hotel,Chain,2024-12-03,2025-01-11,2025-01-13,Meta Search,Mobile App,not_cancelled,Austin,Bank Transfer,Pay Later,107.65
10257,3.0,Resort,Independent,2024-07-31,2024-08-06,2024-08-08,Direct,Mobile App,not_cancelled,Chicago,Wallet,Pay Later,144.56
10116,4.5,Serviced Apartment,Independent,2024-08-27,2024-12-20,2024-12-22,Meta Search,Call Center,not_cancelled,Denver,Wallet,Pay Now,135.8
10056,3.0,Apartment,Chain,2024-12-10,2025-01-27,2025-01-30,Affiliate,Partner Portal,not_cancelled,New York,Wallet,Pay Now,180.06
10020,4.0,Resort,Independent,2024-11-28,2024-12-16,2024-12-18,Direct,Mobile App,cancelled,Austin,Credit Card,Pay Later,103.29
10336,3.0,Hotel,Independent,2024-12-22,2025-04-03,2025-04-07,Direct,Website,not_cancelled,New York,Bank Transfer,Pay Later,155.79
10331,5.0,Resort,Chain,2024-07-04,2024-07-07,2024-07-13,Direct,Website,not_cancelled,Boston,Wallet,Pay Later,166.78
10065,2.0,Boutique Hotel,Chain,2024-04-18,2024-05-23,2024-05-28,Meta Search,Call Center,not_cancelled,Austin,Debit Card,Pay at Property,105.56
10067,4.0,Boutique Hotel,Chain,2024-11-01,2024-11-01,2024-11-08,Meta Search,Partner Portal,not_cancelled,Austin,Debit Card,Pay Now,146.75
10270,4.0,Hotel,Independent,2024-05-01,2024-06-01,2024-06-02,Direct,Mobile App,cancelled,New York,Bank Transfer,Pay Now,225.15
10338,3.5,Boutique Hotel,Chain,2024-11-10,2024-11-11,2024-11-18,Direct,Partner Portal,not_cancelled,Denver,Credit Card,Pay Later,132.78
10065,2.0,Resort,Independent,2024-12-30,2025-03-24,2025-03-25,Direct,Call Center,not_cancelled,Chicago,Wallet,Pay at Property,98.43
10334,4.0,Boutique Hotel,Independent,2024-02-20,2024-04-15,2024-04-16,Direct,Call Center,not_cancelled,Miami,Debit Card,Pay Later,187.81
10079,3.0,Serviced Apartment,Chain,2024-07-31,2024-09-14,2024-09-17,Direct,Mobile App,not_cancelled,Miami,Credit Card,Pay Now,137.3
10344,2.0,Hotel,Chain,2024-01-31,2024-03-01,2024-03-06,Direct,Mobile App,not_cancelled,New York,Bank Transfer,Pay Later,110.43
10189,3.5,Hotel,Independent,2024-04-18,2024-04-23,2024-04-27,Direct,Call Center,cancelled,Chicago,Debit Card,Pay Later,174.04
10137,4.0,Hotel,Chain,2024-11-25,2024-12-23,2024-12-28,Meta Search,Partner Portal,not_cancelled,Miami,Wallet,Pay at Property,200.51
10193,4.0,Serviced Apartment,Chain,2024-02-05,2024-02-10,2024-02-16,Direct,Mobile App,not_cancelled,San Francisco,Debit Card,Pay Now,209.52
10346,3.5,Hotel,Chain,2024-01-27,2024-02-01,2024-02-08,Corporate,Website,not_cancelled,San Francisco,Bank Transfer,Pay Now,185.67
10158,3.5,Hotel,Chain,2024-06-25,2024-07-14,2024-07-17,Direct,Mobile App,not_cancelled,Denver,Credit Card,Pay Later,104.84
10221,4.0,Apartment,Chain,2024-05-28,2024-06-10,2024-06-11,Meta Search,Website,not_cancelled,Chicago,Debit Card,Pay at Property,149.54
10149,1.0,Hotel,Chain,2024-02-09,2024-04-18,2024-04-23,Direct,Website,not_cancelled,San Francisco,Wallet,Pay at Property,65.57
10302,4.5,Serviced Apartment,Chain,2024-02-15,2024-03-06,2024-03-07,Meta Search,Partner Portal,cancelled,Seattle,Bank Transfer,Pay Later,182.54
10331,2.0,Apartment,Chain,2024-11-20,2024-11-24,2024-11-29,Meta Search,Mobile App,not_cancelled,Boston,Debit Card,Pay Now,112.51
10289,4.0,Boutique Hotel,Chain,2024-03-31,2024-07-14,2024-07-20,Meta Search,Website,not_cancelled,Boston,Wallet,Pay Later,155.97
10030,3.0,Resort,Independent,2024-05-20,2024-06-20,2024-06-23,Direct,Website,not_cancelled,San Francisco,Credit Card,Pay Now,148.93
10097,3.5,Resort,Independent,2024-01-22,2024-02-11,2024-02-18,Direct,Mobile App,not_cancelled,New York,Debit Card,Pay Later,197.53
10269,5.0,Boutique Hotel,Independent,2024-02-13,2024-03-08,2024-03-10,Meta Search,Mobile App,cancelled,Chicago,Wallet,Pay at Property,176.56
10169,4.0,Hotel,Chain,2024-01-27,2024-03-21,2024-03-27,Meta Search,Partner Portal,cancelled,San Francisco,Bank Transfer,Pay Later,137.67
10336,4.0,Serviced Apartment,Chain,2024-03-17,2024-03-31,2024-04-05,Corporate,Website,not_cancelled,Boston,Credit Card,Pay at Property,185.92
10270,2.0,Hotel,Independent,2024-12-25,2025-02-24,2025-03-02,Direct,Mobile App,not_cancelled,Boston,Bank Transfer,Pay Later,102.01
10260,3.0,Boutique Hotel,Independent,2024-09-05,2024-09-12,2024-09-14,Corporate,Website,cancelled,San Francisco,Credit Card,Pay Now,147.24
10085,2.5,Serviced Apartment,Chain,2024-04-02,2024-06-03,2024-06-10,Affiliate,Partner Portal,not_cancelled,San Francisco,Wallet,Pay Later,169.29
10100,4.0,Resort,Independent,2024-04-29,2024-05-25,2024-05-28,Meta Search,Call Center,not_cancelled,Austin,Bank Transfer,Pay Later,150.03
10129,3.0,Hotel,Independent,2024-03-23,2024-05-21,2024-05-28,Affiliate,Partner Portal,not_cancelled,Denver,Wallet,Pay Later,72.82
10114,2.0,Serviced Apartment,Independent,2024-03-23,2024-04-03,2024-04-08,Direct,Mobile App,cancelled,New York,Credit Card,Pay Later,85.21
10333,5.0,Resort,Independent,2024-07-10,2024-07-18,2024-07-21,Direct,Website,not_cancelled,Miami,Debit Card,Pay Later,227.79
10077,2.0,Boutique Hotel,Independent,2024-12-27,2025-01-18,2025-01-23,Meta Search,Website,cancelled,Chicago,Bank Transfer,Pay at Property,115.06
10256,3.0,Boutique Hotel,Chain,2024-11-23,2025-01-17,2025-01-21,Direct,Partner Portal,cancelled,New York,Debit Card,Pay Now,167.89
10279,3.5,Boutique Hotel,Independent,2024-04-05,2024-05-13,2024-05-14,Direct,Website,not_cancelled,Seattle,Credit Card,Pay Now,111.46
10337,3.0,Hotel,Independent,2024-01-09,2024-01-24,2024-01-25,Direct,Partner Portal,not_cancelled,Miami,Wallet,Pay Now,180.4
10235,2.5,Hotel,Chain,2024-12-16,2025-01-06,2025-01-12,Meta Search,Website,not_cancelled,Seattle,Credit Card,Pay Later,116.0
10098,3.0,Resort,Chain,2024-10-05,2024-10-27,2024-10-28,Direct,Partner Portal,not_cancelled,Austin,Credit Card,Pay Now,124.74
10189,3.0,Boutique Hotel,Chain,2024-08-13,2024-10-30,2024-11-03,Direct,Website,cancelled,San Francisco,Credit Card,Pay Later,166.92
10157,3.5,Serviced Apartment,Independent,2024-06-13,2024-06-16,2024-06-19,Meta Search,Website,not_cancelled,Miami,Bank Transfer,Pay Later,187.88
10039,4.5,Serviced Apartment,Chain,2024-06-29,2024-08-01,2024-08-05,Direct,Mobile App,not_cancelled,Seattle,Debit Card,Pay Now,211.41
10197,1.5,Boutique Hotel,Chain,2024-02-04,2024-02-13,2024-02-19,Meta Search,Website,not_cancelled,Chicago,Debit Card,Pay Later,82.72
10096,3.5,Serviced Apartment,Chain,2024-09-28,2024-10-14,2024-10-17,Meta Search,Call Center,not_cancelled,Denver,Credit Card,Pay Later,123.22
10070,4.0,Hotel,Chain,2024-12-21,2025-03-17,2025-03-21,Direct,Partner Portal,cancelled,Boston,Bank Transfer,Pay Later,181.31
10327,4.0,Apartment,Independent,2024-12-29,2024-12-31,2025-01-05,Corporate,Partner Portal,cancelled,New York,Debit Card,Pay at Property,193.87
10283,3.5,Apartment,Independent,2024-07-03,2024-07-31,2024-08-03,Direct,Call Center,not_cancelled,New York,Credit Card,Pay Later,189.22
10239,3.5,Boutique Hotel,Chain,2024-07-28,2024-09-26,2024-09-27,Meta Search,Website,cancelled,New York,Debit Card,Pay at Property,176.31
10116,2.0,Resort,Independent,2024-03-19,2024-03-31,2024-04-02,Direct,Mobile App,not_cancelled,Seattle,Wallet,Pay at Property,104.45
10079,2.0,Apartment,Independent,2024-06-04,2024-07-07,2024-07-08,Affiliate,Website,not_cancelled,New York,Wallet,Pay Later,146.43
10214,4.0,Boutique Hotel,Independent,2024-10-22,2024-11-01,2024-11-03,Direct,Partner Portal,not_cancelled,Chicago,Bank Transfer,Pay Now,199.12
10238,4.5,Apartment,Chain,2024-07-26,2024-08-07,2024-08-08,Direct,Mobile App,not_cancelled,Boston,Debit Card,Pay Now,198.35
10055,3.0,Resort,Chain,2024-07-23,2024-07-27,2024-07-30,Corporate,Partner Portal,not_cancelled,San Francisco,Credit Card,Pay Now,171.87
10161,5.0,Apartment,Independent,2024-11-11,2024-11-29,2024-12-06,Direct,Mobile App,not_cancelled,Boston,Bank Transfer,Pay Now,220.13
10181,5.0,Hotel,Chain,2024-09-15,2024-10-06,2024-10-08,Direct,Mobile App,not_cancelled,Denver,Bank Transfer,Pay Now,121.51
10288,2.0,Apartment,Chain,2024-05-15,2024-06-29,2024-07-06,Direct,Website,not_cancelled,Denver,Wallet,Pay Now,91.84
10050,4.5,Serviced Apartment,Chain,2024-11-15,2024-12-24,2024-12-25,Affiliate,Mobile App,cancelled,New York,Wallet,Pay Later,216.68
10311,3.5,Boutique Hotel,Chain,2024-01-24,2024-01-25,2024-01-31,Affiliate,Mobile App,not_cancelled,San Francisco,Wallet,Pay Now,153.98
10289,3.5,Resort,Chain,2024-09-16,2024-11-16,2024-11-21,Meta Search,Mobile App,not_cancelled,Seattle,Credit Card,Pay Later,143.27
10297,3.0,Boutique Hotel,Chain,2024-12-18,2025-01-21,2025-01-26,Direct,Website,not_cancelled,San Francisco,Credit Card,Pay Now,187.03
10057,4.5,Apartment,Chain,2024-03-16,2024-05-15,2024-05-17,Affiliate,Website,cancelled,Denver,Wallet,Pay Later,141.38
10288,4.0,Resort,Independent,2024-08-29,2024-11-09,2024-11-15,Direct,Website,not_cancelled,Miami,Bank Transfer,Pay Later,172.67
10330,3.0,Resort,Independent,2024-06-30,2024-08-08,2024-08-15,Corporate,Website,not_cancelled,Miami,Debit Card,Pay Now,125.23
10141,5.0,Resort,Chain,2024-05-27,2024-07-08,2024-07-14,Corporate,Website,not_cancelled,Austin,Bank Transfer,Pay Now,160.62
10227,3.0,Resort,Independent,2024-05-27,2024-09-12,2024-09-13,Meta Search,Partner Portal,cancelled,Miami,Debit Card,Pay at Property,161.37
10116,3.0,Apartment,Chain,2024-02-25,2024-03-29,2024-04-03,Affiliate,Partner Portal,cancelled,Austin,Bank Transfer,Pay Now,153.02
10244,1.0,Serviced Apartment,Independent,2024-10-08,2025-02-18,2025-02-20,Meta Search,Mobile App,not_cancelled,San Francisco,Wallet,Pay Now,99.05
10214,4.0,Apartment,Independent,2024-04-28,2024-05-24,2024-05-30,Meta Search,Website,not_cancelled,San Francisco,Credit Card,Pay Now,230.45
10309,4.5,Hotel,Independent,2024-05-28,2024-08-09,2024-08-10,Meta Search,Partner Portal,cancelled,Miami,Wallet,Pay Now,204.31
10235,4.5,Resort,Independent,2024-03-09,2024-05-14,2024-05-18,Affiliate,Mobile App,cancelled,Boston,Credit Card,Pay Later,193.99
10168,2.5,Hotel,Chain,2024-11-23,2025-02-10,2025-02-17,Meta Search,Partner Portal,cancelled,San Francisco,Credit Card,Pay Later,123.84
10294,1.0,Hotel,Chain,2024-07-15,2024-07-24,2024-07-31,Corporate,Call Center,cancelled,Seattle,Wallet,Pay Later,58.59
10061,3.0,Resort,Chain,2024-09-14,2024-12-12,2024-12-18,Direct,Website,not_cancelled,Austin,Debit Card,Pay Now,136.79
10112,5.0,Apartment,Independent,2024-07-10,2024-07-28,2024-08-02,Direct,Call Center,not_cancelled,Austin,Credit Card,Pay Later,168.94
10077,2.0,Apartment,Chain,2024-10-07,2024-12-27,2024-12-29,Corporate,Mobile App,not_cancelled,Denver,Bank Transfer,Pay Later,53.88
10287,4.5,Serviced Apartment,Independent,2024-08-16,2024-10-12,2024-10-16,Affiliate,Mobile App,cancelled,New York,Wallet,Pay Later,195.05
10031,3.5,Hotel,Independent,2024-01-24,2024-02-12,2024-02-18,Meta Search,Mobile App,cancelled,Chicago,Bank Transfer,Pay at Property,158.75
10194,4.0,Serviced Apartment,Chain,2024-11-26,2025-03-22,2025-03-25,Direct,Website,not_cancelled,Chicago,Debit Card,Pay Now,134.83
10153,2.0,Serviced Apartment,Independent,2024-04-24,2024-06-26,2024-07-03,Direct,Website,cancelled,San Francisco,Bank Transfer,Pay at Property,145.98
10009,3.0,Apartment,Chain,2024-02-27,2024-02-28,2024-03-05,Direct,Partner Portal,not_cancelled,Miami,Credit Card,Pay Now,149.92
10029,3.0,Apartment,Chain,2024-01-23,2024-02-10,2024-02-12,Meta Search,Mobile App,not_cancelled,Chicago,Wallet,Pay Later,95.15
10114,3.5,Serviced Apartment,Chain,2024-12-10,2025-02-07,2025-02-09,Direct,Partner Portal,cancelled,Austin,Credit Card,Pay Later,145.24
10214,5.0,Serviced Apartment,Chain,2024-11-25,2025-01-02,2025-01-09,Affiliate,Mobile App,not_cancelled,Seattle,Bank Transfer,Pay Later,202.72
10286,3.0,Boutique Hotel,Chain,2024-12-28,2025-01-02,2025-01-06,Meta Search,Mobile App,not_cancelled,Seattle,Debit Card,Pay Later,82.4
10138,4.5,Serviced Apartment,Independent,2024-02-17,2024-03-14,2024-03-21,Corporate,Website,cancelled,Boston,Credit Card,Pay Later,170.14
10098,3.5,Hotel,Independent,2024-09-02,2024-09-10,2024-09-13,Meta Search,Website,cancelled,New York,Bank Transfer,Pay Later,189.64
10333,3.0,Resort,Chain,2024-06-13,2024-08-04,2024-08-08,Direct,Mobile App,not_cancelled,Austin,Wallet,Pay Later,109.2
10075,4.0,Hotel,Chain,2024-06-12,2024-09-06,2024-09-09,Meta Search,Mobile App,cancelled,Denver,Bank Transfer,Pay Later,170.01
10251,4.5,Serviced Apartment,Chain,2024-09-12,2024-10-09,2024-10-15,Direct,Website,not_cancelled,Boston,Wallet,Pay Now,198.35
10343,4.5,Hotel,Independent,2024-11-24,2025-03-14,2025-03-19,Direct,Website,cancelled,Seattle,Bank Transfer,Pay Later,192.76
10342,1.0,Boutique Hotel,Independent,2024-09-15,2024-10-06,2024-10-07,Meta Search,Partner Portal,not_cancelled,Seattle,Bank Transfer,Pay Now,34.38
10092,3.5,Hotel,Independent,2024-05-20,2024-06-15,2024-06-18,Direct,Website,cancelled,Chicago,Debit Card,Pay Later,157.42
10125,3.0,Apartment,Chain,2024-07-22,2024-07-24,2024-07-28,Meta Search,Website,not_cancelled,Austin,Credit Card,Pay Later,91.06
10290,1.5,Hotel,Independent,2024-01-05,2024-02-16,2024-02-17,Affiliate,Website,not_cancelled,Chicago,Credit Card,Pay Later,59.35
10279,3.5,Boutique Hotel,Independent,2024-01-24,2024-04-23,2024-04-29,Meta Search,Website,not_cancelled,Austin,Debit Card,Pay at Property,141.52
10200,4.5,Boutique Hotel,Chain,2024-07-22,2024-10-22,2024-10-25,Direct,Website,cancelled,San Francisco,Debit Card,Pay Now,210.36
10305,3.0,Serviced Apartment,Independent,2024-02-08,2024-02-22,2024-02-29,Direct,Mobile App,not_cancelled,New York,Wallet,Pay at Property,195.37
10317,2.5,Resort,Independent,2024-10-10,2025-01-17,2025-01-21,Direct,Mobile App,cancelled,Chicago,Credit Card,Pay Later,102.5
10158,2.5,Serviced Apartment,Chain,2024-07-18,2024-07-31,2024-08-01,Meta Search,Website,cancelled,New York,Wallet,Pay Later,134.32
10167,3.5,Serviced Apartment,Chain,2024-07-27,2024-07-30,2024-07-31,Direct,Website,not_cancelled,New York,Bank Transfer,Pay Now,199.46
10087,5.0,Apartment,Chain,2024-05-04,2024-06-02,2024-06-04,Affiliate,Partner Portal,not_cancelled,Miami,Wallet,Pay Later,224.53
10235,3.0,Hotel,Chain,2024-02-09,2024-02-24,2024-02-26,Direct,Website,not_cancelled,Denver,Credit Card,Pay Now,85.96
10305,3.0,Apartment,Chain,2024-06-20,2024-07-09,2024-07-16,Meta Search,Website,not_cancelled,Miami,Debit Card,Pay Later,146.82
10202,3.0,Resort,Chain,2024-12-21,2025-01-25,2025-01-30,Corporate,Website,not_cancelled,Denver,Debit Card,Pay at Property,104.18
10036,3.5,Serviced Apartment,Independent,2024-12-28,2025-01-05,2025-01-12,Corporate,Mobile App,cancelled,Seattle,Debit Card,Pay Later,152.97
10215,4.0,Boutique Hotel,Chain,2024-02-07,2024-02-27,2024-03-03,Meta Search,Website,not_cancelled,Boston,Wallet,Pay Later,155.11
10205,2.5,Resort,Independent,2024-11-09,2024-11-10,2024-11-16,Meta Search,Website,not_cancelled,New York,Bank Transfer,Pay Now,155.85
10302,3.5,Boutique Hotel,Chain,2024-10-24,2024-12-03,2024-12-05,Affiliate,Website,not_cancelled,New York,Credit Card,Pay Now,155.2
